,ID,URL,NAME,TYPE,RARITY
29,029,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp029-ur.jpg,魔将ヤメルーラ,01,03
30,030,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp030-sr.jpg,火麺上忍ゴックブート,01,02
31,031,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp031-r.jpg,守護の竜魔導士,01,01
32,032,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp032.jpg,イカズチのサンダー,01,00
33,033,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp033-r.jpg,ソニック・イェーガー,01,01
34,034,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp034-r.jpg,ヴォロスの仮面,01,01
35,035,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp035.jpg,サターン・キング・ビートル,01,00
36,036,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp036-sr.jpg,交戦魚サメガロン,01,02
37,037,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp037.jpg,貫通！,02,00
38,038,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp038.jpg,リカバリー・フォース,02,00
39,039,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp039-r.jpg,ロード・マジック－テンペスト,02,01
40,040,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp040.jpg,旧神の印,02,00
41,041,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp041-sr.jpg,ハンマークラッシュ,02,02
42,042,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp042.jpg,火の粉,02,00
43,043,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp043.jpg,闇の訪れ,02,00
44,044,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp044.jpg,ワンサイド・リバース,02,00
45,045,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp045-r.jpg,山,02,01
46,046,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp046-r.jpg,カウンター・ボム,03,01
47,047,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp047-r.jpg,地縛霊の誘い,03,01
48,048,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp048.jpg,突風,03,00
49,049,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp049-sr.jpg,暴虐の報い,03,02
50,050,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp050.jpg,１アップ,03,00
